date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
6-Nov-02,104.19,485.23,26.45,1.21,923.76,14.75499976,8.524406322,45.04000092,8.02188791,15.30524576,6.590277608
13-Nov-02,98.31,458.85,25.19,1.19,882.53,12.72500002,8.139682249,41.31000137,8.120631039,14.61717395,5.712212938
20-Nov-02,103.77,487.35,26.98,1.2,914.15,13.26499951,8.928566584,43.40000153,7.784754491,15.74846911,6.098527666
27-Nov-02,116.96,518.25,26.89,1.21,938.87,14.54499984,10.55358155,43.08000183,8.056048812,17.5643873,6.962245426
4-Dec-02,110.15,488.58,27.3,1.2,917.57,13.95000005,9.739473744,44.18000031,8.568217171,15.65486532,7.096851732
11-Dec-02,108.14,476.25,27.4,1.19,904.96,13.81500042,9.245007973,44.54999924,8.587716283,15.09324072,6.309638802
18-Dec-02,104.48,466.69,30.44,1.19,891.12,13.99000025,8.660245966,42.43000031,8.196433808,13.84682936,6.211481509
24-Dec-02,102.61,472.64,31.97,1.17,892.47,13.72999966,8.275521941,43.13000107,8.045576208,13.42331174,6.474629691
31-Dec-02,100.15,458.33,31.2,1.2,879.82,14.04499996,8.070738864,42.75,7.860308294,12.92721058,5.64767579
8-Jan-03,104.07,483.99,30.56,1.17,909.93,14.81999994,8.670015324,42.52999878,8.048069715,13.973277,6.231388966
15-Jan-03,104.97,493.5,33.21,1.18,918.22,14.69999957,8.834325463,43.00999832,8.984634186,14.3460507,5.600657445
22-Jan-03,97.57,463.98,32.85,1.15,878.36,13.64999974,7.988025605,41.5,8.917308948,12.71865414,5.526397998
29-Jan-03,100.56,465.03,33.63,1.16,864.36,13.19500005,8.517428156,40.43000031,8.613100184,12.74328679,5.893610958
5-Feb-03,94.03,447.33,33.93,1.16,843.59,12.6450001,8.011285785,41.33000183,8.498299046,11.904135,5.595277918
12-Feb-03,91.41,439.46,35.77,1.16,818.68,12.18499959,7.76919336,40.08000183,8.131602254,11.67406604,5.485370294
19-Feb-03,92.83,458.04,37.16,1.16,845.13,12.29000032,8.299247408,38.97000122,8.139083122,12.14881909,5.449352046
26-Feb-03,91.36,447.1,37.7,1.19,827.55,12.21999967,8.184295396,38.04000092,8.317868153,11.92761779,5.478148299
5-Mar-03,89.7,447.83,36.69,1.16,829.85,12.18999958,8.084322943,38.34000015,8.424340981,11.75141241,5.443703557
12-Mar-03,84.58,436.04,37.83,1.08,804.19,11.86500013,7.64209964,37.49000168,8.465234745,11.46731578,5.102602051
19-Mar-03,90.78,478.33,29.88,1.14,874.02,12.88500035,8.393404751,42.15999985,9.048218706,13.54631086,5.013333477
26-Mar-03,88.73,472.69,28.63,1.16,869.95,13.07500028,8.465790468,41.95999908,8.929278308,13.62841975,5.38962962
2-Apr-03,89.96,474.42,28.56,1.11,880.9,13.59500027,7.864746425,43.22000122,9.273881793,14.5053416,5.359073997
9-Apr-03,89.13,458.03,28.85,1.11,865.99,13.39000046,7.390237887,40.99000168,9.444438299,14.51683682,5.227962935
16-Apr-03,88.93,471.54,29.18,1.15,879.91,14.06000042,7.563945265,41.61999893,9.631451722,14.6680814,5.095092453
23-Apr-03,93.6,501.11,26.65,1.15,919.02,14.72999978,8.107583019,43.20000076,10.12666423,15.38226387,5.765555523
30-Apr-03,94.88,497.21,25.8,1.11,916.92,15.48000002,8.803994141,43.06999969,10.02567649,15.23939476,5.824351752
7-May-03,97.42,511.88,26.23,1.09,929.62,14.13499975,9.336188042,42.66999817,10.60392286,16.43342082,6.474814678
14-May-03,104.91,522.93,29.17,1.04,939.28,14.60999989,9.942023878,43.70999908,10.79617265,16.43982547,6.610925878
21-May-03,101.14,514.67,29.03,1.04,923.42,14.8300004,9.622288666,42.47000122,10.250841,15.15892782,5.938055407
28-May-03,105.87,547.02,28.58,1.1,953.22,16.27999997,10.25608339,42.90000153,10.63753544,16.22470001,6.03138907
4-Jun-03,112.43,574.78,30.03,1.03,986.24,16.50999999,11.042558,43.88999939,11.58512114,17.50921035,6.507592342
11-Jun-03,110.54,579.5,32.36,0.92,997.48,16.32999969,10.67551147,42.04999924,11.56417578,16.42504563,6.334639007
18-Jun-03,110.3,588.05,30.36,0.87,1010.09,16.79500008,10.94965668,42.56000137,11.57419943,15.71808883,6.245185033
25-Jun-03,106.87,559.63,29.95,0.9,975.31,16.4349997,10.5207847,41.22999954,11.1649637,15.23939425,6.045546108
2-Jul-03,112.71,578.13,30.15,0.85,993.76,16.20499992,11.31423732,42.00999832,11.43152041,15.63351686,6.102037022
9-Jul-03,116.75,599.82,30.88,0.88,1002.21,17.02499962,11.59847728,42.04999924,11.59110545,16.78780243,6.032963165
16-Jul-03,116.21,595.11,31.05,0.89,994,16.31000018,11.49380632,41.36999893,11.66391637,16.99340286,6.125546361
23-Jul-03,114.67,587.38,29.67,0.91,988.61,16.65500045,11.33796275,45.00999832,11.63000462,16.19678308,5.98101838
30-Jul-03,118.38,586.87,30.68,0.96,987.49,16.27000046,11.47352338,46.18999863,11.55819106,15.72876306,6.112407466
6-Aug-03,116.03,572.77,31.7,0.93,967.08,15.57500028,11.74715653,45.08000183,11.5040821,14.63014721,5.989166737
13-Aug-03,118.19,585,30.78,0.94,984.03,14.4400003,12.74101946,46.09999847,12.10177739,14.86185807,6.001759096
20-Aug-03,128.21,612.51,30.95,0.94,1000.3,14.84999991,14.08359923,47.16999817,12.94859998,16.28053426,6.376009253
27-Aug-03,131.81,622.99,31.21,0.98,996.79,14.68499994,15.30662196,46.88000107,13.13883055,16.88321276,6.726388773
3-Sep-03,135.32,642.71,29.49,0.95,1026.27,15.10999966,16.03555086,48.63999939,13.54452536,17.0769896,6.896935004
10-Sep-03,136.07,630.69,29.35,0.94,1010.92,14.97499967,15.48712122,47.13999939,13.97490623,16.75348101,7.079166909
17-Sep-03,142.75,651.08,27.03,0.93,1025.97,14.81499982,15.77694377,48.09999847,14.53719372,17.25270286,8.122685191
24-Sep-03,149.92,631.36,28.24,0.93,1009.38,15.08500028,16.3789182,45.65000153,14.51973941,16.94101771,9.933518828
